last_name, first_name,year,xba,xslg,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,
Tillman, Chris,2016,.260,.433,.338,.336,.173,89,12.5,7.8,
Syndergaard, Noah,2016,.223,.332,.267,.270,.109,87.6,6.4,3.5,
Sale, Chris,2016,.237,.384,.298,.291,.147,88.7,14.6,5.7,
Rodon, Carlos,2016,.249,.385,.310,.315,.136,88.9,13.1,4.5,
Pomeranz, Drew,2016,.209,.359,.288,.286,.151,88.1,11.6,7.3,
Kluber, Corey,2016,.225,.366,.287,.283,.141,86.7,12,6.0,
Keuchel, Dallas,2016,.258,.403,.315,.312,.144,88.4,3.8,6.9,
Gausman, Kevin,2016,.257,.432,.324,.310,.174,88.7,12.5,7.3,
Fister, Doug,2016,.274,.437,.340,.339,.163,87.5,10.7,4.6,
Teheran, Julio,2016,.238,.413,.306,.289,.175,88.8,16.2,6.5,
Santiago, Hector,2016,.259,.492,.359,.339,.233,89.7,20.2,9.3,
Sabathia, CC,2016,.226,.359,.296,.302,.132,85.1,9.7,4.4,
Nelson, Jimmy,2016,.252,.405,.337,.349,.153,88.7,9.2,5.7,
Miley, Wade,2016,.280,.466,.352,.338,.187,89,9.1,6.6,
Leake, Mike,2016,.281,.453,.333,.315,.172,89,6.2,6.2,
Iwakuma, Hisashi,2016,.278,.449,.336,.323,.172,88.7,14.6,5.8,
Hellickson, Jeremy,2016,.268,.446,.333,.317,.179,87.6,14.5,6.9,
Garcia, Jaime,2016,.253,.403,.318,.318,.151,88.7,4.5,5.7,
Bettis, Chad,2016,.279,.439,.340,.338,.160,88.7,6.9,5.6,
Bauer, Trevor,2016,.262,.414,.334,.337,.152,89.6,9.9,5.7,
Arrieta, Jake,2016,.226,.356,.298,.307,.130,86.7,6.7,4.8,
